parameter,output,spearman_rho,p_value
slope%,max_depth_J329-S,0.1977,0.0
dstore_imperv_in,max_depth_J329-S,-0.0311,0.4877
IMD,max_depth_J329-S,-0.0275,0.5397
dstore_perv_in,max_depth_J329-S,0.0095,0.8324
%Imperv,max_depth_J33-S,0.6025,0.0
SubcatchWidth,max_depth_J33-S,0.4413,0.0
n_perv,max_depth_J33-S,-0.3601,0.0
n_imperv,max_depth_J33-S,-0.2156,0.0
slope%,max_depth_J33-S,0.1855,0.0
dstore_imperv_in,max_depth_J33-S,-0.0337,0.4522
IMD,max_depth_J33-S,-0.0253,0.572
dstore_perv_in,max_depth_J33-S,0.0186,0.6781
%Imperv,max_depth_J338-S,0.5653,0.0
SubcatchWidth,max_depth_J338-S,0.4646,0.0
n_perv,max_depth_J338-S,-0.3777,0.0
n_imperv,max_depth_J338-S,-0.2352,0.0
slope%,max_depth_J338-S,0.1983,0.0
dstore_imperv_in,max_depth_J338-S,-0.0307,0.4928
IMD,max_depth_J338-S,-0.0298,0.5062
dstore_perv_in,max_depth_J338-S,0.0161,0.7195
%Imperv,max_depth_J34-S,0.6465,0.0
SubcatchWidth,max_depth_J34-S,0.4144,0.0
n_perv,max_depth_J34-S,-0.294,0.0
n_imperv,max_depth_J34-S,-0.2291,0.0
slope%,max_depth_J34-S,0.1697,0.0001
dstore_imperv_in,max_depth_J34-S,-0.0368,0.4112
IMD,max_depth_J34-S,-0.0266,0.5529
dstore_perv_in,max_depth_J34-S,0.0029,0.9491
%Imperv,max_depth_J361-S,0.5254,0.0
SubcatchWidth,max_depth_J361-S,0.4778,0.0
n_perv,max_depth_J361-S,-0.4302,0.0
n_imperv,max_depth_J361-S,-0.214,0.0
slope%,max_depth_J361-S,0.2093,0.0
dstore_imperv_in,max_depth_J361-S,-0.0294,0.5112
IMD,max_depth_J361-S,-0.0243,0.5885
dstore_perv_in,max_depth_J361-S,0.0163,0.7153
%Imperv,max_depth_J366-S,0.564,0.0
SubcatchWidth,max_depth_J366-S,0.4668,0.0
n_perv,max_depth_J366-S,-0.3757,0.0
n_imperv,max_depth_J366-S,-0.2384,0.0
slope%,max_depth_J366-S,0.1991,0.0
IMD,max_depth_J366-S,-0.031,0.4897
dstore_imperv_in,max_depth_J366-S,-0.0303,0.4989
dstore_perv_in,max_depth_J366-S,0.017,0.7038
%Imperv,max_depth_J385-S,0.5933,0.0
SubcatchWidth,max_depth_J385-S,0.4504,0.0
n_perv,max_depth_J385-S,-0.3375,0.0
n_imperv,max_depth_J385-S,-0.2452,0.0
slope%,max_depth_J385-S,0.1874,0.0
dstore_imperv_in,max_depth_J385-S,-0.0297,0.5073
IMD,max_depth_J385-S,-0.0246,0.5827
dstore_perv_in,max_depth_J385-S,0.0171,0.7031
%Imperv,max_depth_J4-S,0.6461,0.0
SubcatchWidth,max_depth_J4-S,0.4133,0.0
n_imperv,max_depth_J4-S,-0.2658,0.0
n_perv,max_depth_J4-S,-0.2429,0.0
